variant,policy,fraction,token_budget,tokens_before,tokens_after,realized_token_retention,primary_full,decoy_full,pivot_preservation,feasible,contract_satisfied,breach_count,protected_count
base_30_110,recency,1.0,3239,3239,3239,1.0,1,1,1,,,0,0
base_30_110,l2_guarded,1.0,3239,3239,3239,1.0,1,1,1,True,True,0,4
base_30_110,recency,0.8,2591,3239,2583,0.7974683544303798,0,1,0,,,0,0
base_30_110,l2_guarded,0.8,2591,3239,2583,0.7974683544303798,1,1,1,True,True,0,4
base_30_110,recency,0.65,2105,3239,2102,0.6489657301636308,0,1,0,,,0,0
base_30_110,l2_guarded,0.65,2105,3239,2103,0.6492744674282186,1,1,1,True,True,0,4
base_30_110,recency,0.5,1619,3239,1605,0.4955233096634764,0,1,0,,,0,0
base_30_110,l2_guarded,0.5,1619,3239,1607,0.49614078419265206,1,1,1,True,True,0,4
base_30_110,recency,0.4,1295,3239,1287,0.3973448595245446,0,1,0,,,0,0
base_30_110,l2_guarded,0.4,1295,3239,1287,0.3973448595245446,1,1,1,True,True,0,4
shift_15_95,recency,1.0,3235,3235,3235,1.0,1,1,1,,,0,0
shift_15_95,l2_guarded,1.0,3235,3235,3235,1.0,1,1,1,True,True,0,4
shift_15_95,recency,0.8,2588,3235,2578,0.7969088098918083,0,1,0,,,0,0
shift_15_95,l2_guarded,0.8,2588,3235,2579,0.7972179289026275,1,1,1,True,True,0,4
shift_15_95,recency,0.65,2102,3235,2097,0.6482225656877898,0,1,0,,,0,0
shift_15_95,l2_guarded,0.65,2102,3235,2099,0.6488408037094281,1,1,1,True,True,0,4
shift_15_95,recency,0.5,1617,3235,1604,0.49582689335394126,0,1,0,,,0,0
shift_15_95,l2_guarded,0.5,1617,3235,1603,0.4955177743431221,1,1,1,True,True,0,4
shift_15_95,recency,0.4,1294,3235,1284,0.3969088098918083,0,1,0,,,0,0
shift_15_95,l2_guarded,0.4,1294,3235,1283,0.3965996908809892,1,1,1,True,True,0,4
shift_50_130,recency,1.0,3237,3237,3237,1.0,1,1,1,,,0,0
shift_50_130,l2_guarded,1.0,3237,3237,3237,1.0,1,1,1,True,True,0,4
shift_50_130,recency,0.8,2589,3237,2581,0.797343219029966,1,1,1,,,0,0
shift_50_130,l2_guarded,0.8,2589,3237,2581,0.797343219029966,1,1,1,True,True,0,4
shift_50_130,recency,0.65,2104,3237,2099,0.6484399135001545,0,1,0,,,0,0
shift_50_130,l2_guarded,0.65,2104,3237,2101,0.6490577695396973,1,1,1,True,True,0,4
shift_50_130,recency,0.5,1618,3237,1618,0.4998455359901143,0,1,0,,,0,0
shift_50_130,l2_guarded,0.5,1618,3237,1605,0.49582947173308617,1,1,1,True,True,0,4
shift_50_130,recency,0.4,1294,3237,1282,0.39604572134692617,0,1,0,,,0,0
shift_50_130,l2_guarded,0.4,1294,3237,1285,0.39697250540624035,1,1,1,True,True,0,4
