policy,fraction,n,primary_full_rate,decoy_full_rate,pivot_preservation_rate,realized_token_retention_mean,contract_satisfied_rate,mean_breach_count
l2_guarded,1.0,3,1.0,1.0,1.0,1.0,1.0,0.0
l2_guarded,0.8,3,1.0,1.0,1.0,0.7973431674543244,1.0,0.0
l2_guarded,0.65,3,1.0,1.0,1.0,0.6490576802257814,1.0,0.0
l2_guarded,0.5,3,1.0,1.0,1.0,0.49582934342295343,1.0,0.0
l2_guarded,0.4,3,1.0,1.0,1.0,0.39697235193725805,1.0,0.0
recency,1.0,3,1.0,1.0,1.0,1.0,0.0,0.0
recency,0.8,3,0.3333333333333333,1.0,0.3333333333333333,0.7972401277840513,0.0,0.0
recency,0.65,3,0.0,1.0,0.0,0.6485427364505251,0.0,0.0
recency,0.5,3,0.0,1.0,0.0,0.497065246335844,0.0,0.0
recency,0.4,3,0.0,1.0,0.0,0.3967664635877597,0.0,0.0
